--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
293,Ville Koistinen,2010,2010,1,17,1,3,4,1,8,1,0,0,0,2,1,0,12,8.3,133,7:50,koistvi01
294,Randy Moller,1995,1995,1,17,0,3,3,-5,16,0,0,0,0,3,0,0,12,0.0,,,mollera01
295,Clay Wilson,2010,2011,2,17,3,2,5,-1,6,3,0,0,0,1,1,0,22,13.6,245,14:24,wilsocl01
296,Matt Gilroy,2014,2014,1,16,1,1,2,-2,6,1,0,0,0,1,0,0,27,3.7,260,16:15,gilroma01
297,Robert Hägg,2022,2022,1,16,0,1,1,0,10,0,0,0,0,1,0,0,14,0.0,209,13:03,haggro01
298,Zac Dalpe,2022,2023,2,15,2,2,4,-5,2,2,0,0,0,2,0,0,17,11.8,124,8:15,dalpeza01
299,Dwayne Hay,1999,2000,2,15,0,0,0,-3,2,0,0,0,0,0,0,0,6,0.0,99,6:35,haydw01
300,Teddy Purcell,2016,2016,1,15,3,8,11,-2,2,3,0,0,0,3,5,0,19,15.8,215,14:19,purcete01
301,Nick Smith,2002,2002,1,15,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,62,4:09,smithni01
302,Brad Smyth,1996,1997,2,15,2,1,3,-6,6,1,1,0,0,0,1,0,22,9.1,,,smythbr01
303,Rudolfs Balcers,2023,2023,1,14,2,2,4,-2,4,2,0,0,0,2,0,0,21,9.5,153,10:55,balceru01
304,Shane Harper,2017,2017,1,14,2,1,3,-1,18,2,0,0,0,1,0,0,13,15.4,144,10:18,harpesh01
305,Greg Jacina,2006,2007,2,14,0,1,1,-2,6,0,0,0,0,1,0,0,12,0.0,85,6:04,jacingr01
306,Alex Kovalev,2013,2013,1,14,2,3,5,-1,6,1,1,0,1,2,1,0,21,9.5,219,15:37,kovalal01
307,Jānis Sprukts,2007,2009,2,14,1,2,3,1,2,1,0,0,0,1,1,0,11,9.1,95,6:45,sprukja01
308,Gaétan Duchesne,1995,1995,1,13,1,2,3,3,0,1,0,0,0,2,0,0,14,7.1,,,duchega01
309,Chris Tierney,2023,2023,1,13,2,1,3,-1,2,2,0,0,0,1,0,0,6,33.3,110,8:28,tiernch01
310,Mikhail Yakubov,2006,2006,1,13,0,1,1,-1,4,0,0,0,0,1,0,0,16,0.0,102,7:50,yakubmi01
311,Mike Duco,2010,2011,2,12,0,0,0,-4,60,0,0,0,0,0,0,0,6,0.0,94,7:52,ducomi01
312,Greg Smyth,1994,1994,1,12,1,0,1,0,37,1,0,0,0,0,0,0,4,25.0,,,smythgr01
313,Mike Green,2004,2004,1,11,0,1,1,0,2,0,0,0,0,1,0,0,7,0.0,91,8:16,greenmi02
314,Nikita Gusev,2021,2021,1,11,2,3,5,0,2,2,0,0,0,2,1,0,27,7.4,174,15:51,gusevni01
315,Greg Rallo,2012,2013,2,11,1,0,1,-5,2,0,1,0,0,0,0,0,11,9.1,99,9:00,rallogr01
316,Lucas Wallmark,2020,2021,2,11,1,1,2,-2,0,1,0,0,0,1,0,0,6,16.7,129,11:45,wallmlu01
317,Christian Berglund,2004,2004,1,10,3,1,4,-2,10,3,0,0,0,1,0,0,17,17.6,120,12:01,berglch01
318,Derick Brassard,2019,2019,1,10,1,3,4,-6,2,1,0,0,0,2,1,0,16,6.3,153,15:17,brassde01
319,Jeff Daniels,1994,1995,2,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,,,danieje01
320,Olli Juolevi,2022,2022,1,10,0,0,0,0,2,0,0,0,0,0,0,0,9,0.0,125,12:27,juoleol01
321,Rocky Thompson,2001,2002,2,10,0,0,0,0,31,0,0,0,0,0,0,0,1,0.0,30,3:01,thompro01
322,David Brine,2008,2008,1,9,0,1,1,-1,4,0,0,0,0,1,0,0,3,0.0,54,6:02,brineda01
323,Joey Crabb,2014,2014,1,9,0,1,1,-2,7,0,0,0,0,1,0,0,5,0.0,129,14:23,crabbjo01
324,Steve Eminger,2009,2009,1,9,1,0,1,1,6,1,0,0,1,0,0,0,13,7.7,142,15:49,emingst01
325,Vinnie Hinostroza,2021,2021,1,9,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,89,9:50,hinosvi01
326,Petteri Lindbohm,2022,2022,1,9,0,1,1,0,5,0,0,0,0,1,0,0,9,0.0,127,14:03,lindbpe02
327,Shane O'Brien,2015,2015,1,9,0,1,1,-4,5,0,0,0,0,1,0,0,4,0.0,121,13:29,obriesh01
328,Patrick Rissmiller,2011,2011,1,9,0,1,1,0,0,0,0,0,0,1,0,0,12,0.0,91,10:04,rissmpa01
329,Kyle Rossiter,2002,2004,3,9,0,0,0,-4,9,0,0,0,0,0,0,0,1,0.0,109,12:07,rossiky01
330,Aleksi Saarela,2020,2020,1,9,2,2,4,2,0,2,0,0,0,1,1,0,15,13.3,110,12:15,saareal01
331,Alexander Sulzer,2011,2011,1,9,0,1,1,-3,0,0,0,0,0,1,0,0,7,0.0,153,17:00,sulzeal01
332,Peter Andersson,1994,1994,1,8,1,1,2,-5,0,1,0,0,0,1,0,0,11,9.1,,,anderpe03
333,Chase Balisy,2018,2018,1,8,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,79,9:49,balisch01
334,Brett Harkins,1996,1996,1,8,0,3,3,-2,6,0,0,0,0,1,2,0,4,0.0,,,harkibr01
335,Ryan Jardine,2002,2002,1,8,0,2,2,0,2,0,0,0,0,2,0,0,6,0.0,71,8:55,jardiry01
336,Mike Mottau,2014,2014,1,8,0,0,0,-3,4,0,0,0,0,0,0,0,1,0.0,101,12:40,mottami01
337,Jeff Toms,2003,2003,1,8,2,2,4,2,4,2,0,0,1,2,0,0,12,16.7,93,11:36,tomsje01
338,Nolan Yonkman,2012,2013,2,8,0,0,0,-1,11,0,0,0,0,0,0,0,4,0.0,75,9:20,yonkmno01
339,Jamie Allison,2006,2006,1,7,0,0,0,0,11,0,0,0,0,0,0,0,4,0.0,83,11:48,allisja01
340,Todd Bertuzzi,2007,2007,1,7,1,6,7,-4,13,0,1,0,0,3,3,0,8,12.5,116,16:32,bertuto01
341,Byron Bitz,2010,2010,1,7,1,1,2,1,2,1,0,0,0,1,0,0,7,14.3,81,11:37,bitzby01
342,Erik Haula,2020,2020,1,7,0,2,2,0,2,0,0,0,0,2,0,0,14,0.0,110,15:41,haulaer01
343,Igor Kravchuk,2003,2003,1,7,0,1,1,-3,4,0,0,0,0,1,0,0,8,0.0,131,18:46,kravcig01
344,Brent Regner,2016,2016,1,7,0,0,0,-2,4,0,0,0,0,0,0,0,7,0.0,81,11:35,regnebr01
