--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
121,Phil Russell,1984,1986,3,172,15,41,56,-61,257,14,0,1,0,33,7,1,218,6.9,,,russeph01
122,Mike Cammalleri,2015,2017,3,171,51,60,111,8,67,36,13,2,12,42,18,0,399,12.8,3115,18:13,cammami01
123,Ryan Carter,2012,2014,3,171,17,16,33,-20,150,16,0,1,3,13,0,3,179,9.5,1957,11:27,cartery01
124,Cam Janssen,2006,2014,5,171,4,1,5,-11,304,4,0,0,0,1,0,0,47,8.5,777,4:33,janssca01
125,Paul Gardner,1977,1979,3,170,83,77,160,-72,86,45,38,0,3,43,34,0,493,16.8,,,gardnpa01
126,Dave Cameron,1982,1984,3,168,25,28,53,-33,238,22,2,1,0,22,5,1,175,14.3,,,camerda01
127,Tim Higgins,1984,1986,3,167,46,56,102,-6,104,34,11,1,6,43,13,0,312,14.7,,,higgiti01
128,Steve Tambellini,1981,1983,3,165,60,60,120,-61,30,42,17,1,5,45,15,0,371,16.2,,,tambest01
129,Simon Nolet,1975,1977,3,165,48,66,114,-63,56,31,14,3,5,38,27,1,423,11.3,,,noletsi01
130,Dawson Mercer,2022,2023,2,164,44,54,98,-3,42,38,4,2,8,41,11,2,315,14.0,2714,16:33,merceda01
131,Jason Smith,1994,1997,4,164,3,8,11,1,167,3,0,0,0,8,0,0,152,2.0,,,smithja01
132,Jeff Friesen,2003,2004,2,162,40,48,88,31,52,32,8,0,8,37,11,0,356,11.2,2485,15:20,friesje01
133,Tomáš Tatar,2022,2023,2,158,35,43,78,19,52,32,3,0,2,37,6,0,285,12.3,2367,14:59,tatarto01
134,Shawn Chambers,1995,1997,3,158,8,43,51,20,43,4,4,0,1,23,19,1,249,3.2,,,chambsh01
135,Jonas Siegenthaler,2021,2023,3,158,5,30,35,16,88,4,1,0,1,29,0,1,180,2.8,3192,20:12,siegejo01
136,Bryan Lefley,1975,1978,3,158,4,22,26,-43,45,3,0,1,1,16,5,1,119,3.4,,,leflebr01
137,Brent Ashton,1982,1983,2,156,38,55,93,-54,73,30,8,0,5,43,11,1,295,12.9,,,ashtobr01
138,Éric Gélinas,2013,2016,4,156,14,40,54,-14,80,5,9,0,4,19,21,0,282,5.0,2513,16:06,geliner01
139,Denis Dupéré,1976,1978,3,154,28,34,62,5,24,18,5,5,6,29,4,1,164,17.1,,,duperde01
140,Jim Korn,1988,1990,3,154,25,32,57,-26,451,18,7,0,3,25,7,0,132,18.9,,,kornji01
141,Ryan Graves,2022,2023,2,153,14,40,54,25,52,14,0,0,2,38,0,2,252,5.6,3110,20:20,gravery01
142,Laurie Boschman,1991,1992,2,153,19,29,48,8,198,18,0,1,3,27,1,1,180,10.6,,,boschla01
143,Randy Rota,1975,1977,3,152,27,32,59,-77,44,22,5,0,1,29,3,0,328,8.2,,,rotara01
144,Rich Preston,1985,1986,2,151,31,37,68,-21,91,27,4,0,3,30,7,0,224,13.8,,,prestri01
145,Nathan Bastian,2019,2023,4,151,23,21,44,-4,96,20,3,0,2,20,1,0,208,11.1,1887,12:30,bastina01
146,Grant Marshall,2003,2006,3,151,17,27,44,-30,144,8,9,0,5,21,6,0,182,9.3,1914,12:41,marshgr01
147,Robin Burns,1975,1976,2,149,31,33,64,-80,107,22,9,0,1,24,9,0,271,11.4,,,burnsro01
148,Barry Beck,1978,1980,3,148,37,71,108,-47,188,26,11,0,4,40,30,1,508,7.3,,,beckba01
149,Ron Andruff,1977,1979,3,147,19,36,55,-37,52,19,0,0,1,29,6,1,245,7.8,,,andruro01
150,Henrik Tallinder,2011,2013,3,146,6,20,26,-17,66,5,0,1,2,16,4,0,167,3.6,3119,21:22,tallihe01
151,David Hale,2004,2007,3,146,0,9,9,19,119,0,0,0,0,9,0,0,85,0.0,1850,12:40,haleda01
152,Stefan Noesen,2017,2019,3,145,22,21,43,-3,86,22,0,0,4,21,0,0,242,9.1,1890,13:02,noesest01
153,Dougie Hamilton,2022,2023,2,144,31,73,104,4,84,21,10,0,8,47,26,0,472,6.6,3101,21:32,hamildo01
154,Lucien DeBlois,1980,1981,2,144,50,35,85,-60,114,36,13,1,3,28,7,0,334,15.0,,,deblolu01
155,Uli Hiemer,1985,1987,3,143,19,54,73,-19,176,8,11,0,2,29,25,0,266,7.1,,,hiemeul01
156,Lanny McDonald*,1980,1982,3,142,66,75,141,-46,119,47,19,0,6,46,29,0,557,11.8,,,mcdonla01
157,Jaromír Jágr,2014,2015,2,139,35,61,96,6,88,28,7,0,9,44,17,0,350,10.0,2579,18:33,jagrja01
158,Dennis Patterson,1975,1976,2,135,6,21,27,-84,67,6,0,0,0,18,3,0,129,4.7,,,pattede01
159,Jordin Tootoo,2015,2016,2,134,14,10,24,-25,174,11,3,0,1,7,3,0,165,8.5,1472,10:59,tootojo01
160,Mike McEwen,1980,1981,2,132,22,75,97,-46,117,11,10,1,2,41,34,0,407,5.4,,,mcewemi01
161,Mark Fraser,2007,2015,5,132,3,9,12,4,141,3,0,0,0,8,0,1,60,5.0,1754,13:17,frasema01
162,Tom Kurvers,1988,1990,3,131,21,79,100,16,84,14,7,0,1,29,47,3,278,7.6,,,kurveto01
163,Brendan Morrison,1998,2000,3,131,23,58,81,7,26,16,7,0,4,34,23,1,209,11.0,1768,14:44,morribr01
164,Mirco Müller,2018,2020,3,131,3,19,22,-15,44,3,0,0,0,16,1,2,87,3.4,2307,17:37,muellmi01
165,Brad Bombardir,1998,2000,3,131,5,13,18,1,30,5,0,0,0,11,2,0,87,5.7,1351,15:21,bombabr01
166,Guy Charron,1975,1976,2,129,40,73,113,-92,33,27,13,0,4,49,24,0,383,10.4,,,charrgu01
167,Chuck Arnason,1976,1978,3,129,31,28,59,-62,41,21,10,0,1,18,10,0,326,9.5,,,arnasch01
168,Michael Ryder,2014,2015,2,129,24,29,53,-7,48,19,4,1,2,23,6,0,255,9.4,1975,15:18,rydermi01
169,Tuomo Ruutu,2014,2016,3,129,10,12,22,-9,46,9,1,0,1,12,0,0,134,7.5,1511,11:43,ruututu01
170,Andreas Johnsson,2021,2023,3,123,18,28,46,3,42,16,2,0,0,28,0,0,180,10.0,1726,14:02,johnsan01
171,Alexander Mogilny,2000,2006,3,121,58,56,114,-1,53,37,21,0,10,36,20,0,368,15.8,2020,16:42,mogilal01
172,Andy Spruce,1978,1979,2,121,22,36,58,-25,74,19,3,0,1,30,6,0,176,12.5,,,sprucan01
173,Ed Gilbert,1975,1976,2,121,20,30,50,-74,22,8,10,2,0,22,8,0,264,7.6,,,gilbeed01
174,Doug Berry,1980,1981,2,121,10,33,43,-38,24,8,0,2,1,27,6,0,110,9.1,,,berrydo01
175,Jim Dowd,1992,2007,6,121,14,27,41,-4,37,10,3,1,1,18,7,2,126,11.1,547,8:17,dowdji01
176,Mike Gillis,1979,1981,3,121,16,19,35,-57,82,14,2,0,2,16,3,0,188,8.5,,,gillimi01
177,Sergey Kalinin,2016,2017,2,121,10,9,19,-23,48,7,3,0,2,9,0,0,108,9.3,1590,13:08,kalinse01
178,Dennis Owchar,1978,1980,3,120,12,36,48,-84,54,9,3,0,0,25,9,2,204,5.9,,,owchade01
179,Mattias Tedenby,2011,2014,4,120,10,20,30,-20,42,8,2,0,2,17,3,0,144,6.9,1376,11:28,tedenma01
180,Peter McNab,1986,1987,2,117,27,36,63,-25,22,19,8,0,2,31,5,0,142,19.0,,,mcnabpe01
181,Brian Boyle,2018,2019,2,116,26,16,42,-22,67,14,11,1,4,11,4,1,201,12.9,1567,13:30,boylebr01
182,Drew Stafford,2018,2019,2,116,13,15,28,-27,28,8,5,0,1,13,2,0,179,7.3,1517,13:05,staffdr01
183,Ty Smith,2021,2022,2,114,7,36,43,-35,44,6,1,0,0,26,10,0,146,4.8,2121,18:36,smithty01
184,Steven Santini,2016,2019,4,114,5,16,21,-10,53,5,0,0,0,15,0,1,144,3.5,2005,17:35,santist01
185,Jeff Larmer,1982,1984,3,113,28,38,66,-26,35,23,5,0,0,30,8,0,190,14.7,,,larmeje01
186,Larry Johnston,1975,1977,3,113,2,20,22,-107,157,1,1,0,0,13,6,1,112,1.8,,,johnsla01
187,Kevin Todd,1989,1993,4,112,26,47,73,2,85,24,2,0,4,34,12,1,179,14.5,,,toddke01
188,Peter Harrold,2012,2015,4,110,5,11,16,-20,24,4,1,0,0,8,3,0,110,4.5,1838,16:42,harrope01
189,Hector Marini,1983,1984,2,109,19,30,49,-19,154,14,5,0,3,24,6,0,140,13.6,,,marinhe01
190,Janne Kuokkanen,2020,2022,3,108,14,28,42,-21,24,11,2,1,2,25,3,0,125,11.2,1520,14:04,kuokkja01
191,Ralph Klassen,1978,1979,2,108,12,22,34,-44,20,7,4,1,2,18,2,2,147,8.2,,,klassra01
192,Trevor Johansen,1979,1981,3,108,4,18,22,-46,79,3,1,0,0,18,0,0,90,4.4,,,johantr01
193,Tapio Levo,1982,1983,2,107,16,53,69,-52,36,8,8,0,0,16,37,0,257,6.2,,,levota01
194,Murray Brumwell,1983,1988,5,106,12,28,40,-25,52,6,6,0,0,16,12,0,125,9.6,,,brumwmu01
