--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
120,David Gustafsson,2020,2023,4,74,1,6,7,-1,6,1,0,0,1,5,0,1,50,2.0,628,8:29,gustada01
121,Johan Garpenlöv,2000,2000,1,73,2,14,16,-30,31,2,0,0,0,11,3,0,79,2.5,1118,15:19,garpejo01
122,Ken Klee,2008,2008,1,72,1,9,10,-5,60,1,0,0,0,8,0,1,56,1.8,1443,20:03,kleeke01
123,Shawn Matthias,2017,2018,2,72,9,6,15,-1,23,8,0,1,1,6,0,0,77,11.7,912,12:40,matthsh01
124,Evgeny Svechnikov,2022,2022,1,72,7,12,19,-4,38,7,0,0,1,12,0,0,78,9.0,774,10:45,svechev01
125,Jiří Šlégr,2001,2002,2,71,6,21,27,-22,87,3,3,0,0,9,11,1,134,4.5,1523,21:27,slegrji01
126,Brad Tapper,2001,2003,3,71,14,11,25,0,72,13,1,0,3,10,1,0,123,11.4,928,13:04,tappebr01
127,Kristian Vesalainen,2019,2022,3,70,2,3,5,-8,6,2,0,0,0,3,0,0,49,4.1,598,8:33,vesalkr01
128,Cole Perfetti,2022,2023,2,69,10,27,37,11,16,9,1,0,1,22,5,0,111,9.0,1018,14:45,perfeco01
129,Randy Robitaille,2004,2004,1,69,11,26,37,-12,20,6,5,0,2,17,9,0,121,9.1,1094,15:51,robitra01
130,Kelly Buchberger,2000,2000,1,68,5,12,17,-34,139,5,0,0,0,11,1,0,56,8.9,1112,16:21,buchbke01
131,Ben Simon,2002,2004,3,68,3,1,4,-9,43,3,0,0,0,1,0,0,44,6.8,466,6:51,simonbe01
132,Antti Miettinen,2012,2013,2,67,8,10,18,-8,2,7,1,0,2,7,3,0,84,9.5,805,12:01,miettan01
133,Bob Corkum,2002,2002,1,65,3,4,7,-30,16,3,0,0,0,4,0,0,70,4.3,1026,15:47,corkubo01
134,Todd Reirden,2002,2002,1,65,3,5,8,-25,82,2,1,0,0,4,1,0,85,3.5,1172,18:02,reirdto01
135,Matt Hendricks,2018,2019,2,64,5,9,14,-1,39,5,0,0,0,9,0,0,59,8.5,598,9:20,hendrma01
136,Matt Johnson,2000,2000,1,64,2,5,7,-11,144,2,0,0,0,5,0,0,54,3.7,539,8:25,johnsma03
137,Saku Mäenalanen,2023,2023,1,64,4,6,10,0,16,4,0,0,0,6,0,0,61,6.6,661,10:20,maenasa01
138,Ivan Majeský,2004,2004,1,63,3,7,10,-7,76,3,0,0,0,7,0,0,35,8.6,911,14:28,majesiv01
139,Mike Stapleton,2000,2000,1,62,10,12,22,-29,30,6,4,0,1,7,5,0,146,6.8,1073,17:18,staplmi01
140,Peter Bondra,2006,2006,1,60,21,18,39,-3,40,13,8,0,1,9,9,0,143,14.7,956,15:56,bondrpe01
141,Niko Kapanen,2007,2007,1,60,4,9,13,-12,20,3,1,0,0,9,0,0,51,7.8,645,10:45,kapanni01
142,Joseph Morrow,2018,2019,2,59,2,10,12,7,20,2,0,0,0,10,0,0,65,3.1,833,14:08,morrojo02
143,Brent Sopel,2011,2011,1,59,2,5,7,7,16,2,0,0,0,4,1,0,40,5.0,970,16:26,sopelbr01
144,Nelson Emerson,2000,2000,1,58,14,19,33,-24,47,10,4,0,0,13,5,1,183,7.7,1112,19:10,emersne01
145,Erik Christensen,2008,2009,2,57,7,16,23,-14,16,6,1,0,0,11,5,0,113,6.2,840,14:45,chriser01
146,Glen Metropolit,2007,2007,1,57,12,16,28,9,20,8,4,0,2,15,1,0,92,13.0,671,11:47,metrogl01
147,Mike Weaver,2002,2004,3,57,0,6,6,-6,30,0,0,0,0,6,0,0,30,0.0,976,17:08,weavemi01
148,Derek Forbort,2021,2021,1,56,2,10,12,1,35,2,0,0,0,10,0,0,67,3.0,1162,20:45,forbode01
149,Trevor Lewis,2021,2021,1,56,5,5,10,7,2,3,0,2,1,5,0,0,68,7.4,552,9:52,lewistr01
150,Sami Niku,2018,2021,4,54,2,8,10,-5,22,2,0,0,0,8,0,0,50,4.0,785,14:33,nikusa01
151,Kevin Stenlund,2023,2023,1,54,6,3,9,3,20,4,0,2,0,3,0,0,63,9.5,629,11:39,stenlke01
152,Brendan Lemieux,2018,2019,2,53,10,2,12,12,85,10,0,0,1,2,0,0,43,23.3,398,7:30,lemiebr01
153,Nathan Oystrick,2009,2009,1,53,4,8,12,-2,50,4,0,0,0,6,2,0,43,9.3,834,15:45,oystrna01
154,Mark Recchi*,2008,2008,1,53,12,28,40,-16,20,7,5,0,0,14,14,0,85,14.1,975,18:23,recchma01
155,Gabriel Bourque,2020,2020,1,52,2,4,6,-1,7,2,0,0,0,4,0,0,33,6.1,447,8:36,bourqga01
156,Patrice Cormier,2011,2016,6,52,1,4,5,-5,18,1,0,0,0,4,0,0,44,2.3,375,7:13,cormipa01
157,Keaton Ellerby,2014,2015,2,52,2,5,7,3,2,1,1,0,1,5,0,0,33,6.1,726,13:58,ellerke01
158,Vitaly Vishnevski,2007,2007,1,52,3,9,12,-5,31,3,0,0,0,8,0,1,41,7.3,1003,19:18,vishnvi01
159,Anthony Bitetto,2020,2020,1,51,0,8,8,3,32,0,0,0,0,7,0,1,54,0.0,773,15:10,bitetan01
160,Colin Stuart,2008,2009,2,51,8,5,13,5,24,4,0,4,1,4,0,1,73,11.0,634,12:26,stuarco01
161,Axel Jonsson-Fjällby,2023,2023,1,50,6,8,14,-1,8,6,0,0,2,7,0,1,54,11.1,523,10:27,jonssax01
162,Darryl Shannon,2000,2000,1,49,5,13,18,-14,65,4,1,0,1,8,5,0,66,7.6,1046,21:21,shannda01
163,Dan Snyder,2001,2003,3,49,11,5,16,-7,64,10,0,1,1,4,1,0,50,22.0,527,10:45,snydeda01
164,Sam Gagner,2023,2023,1,48,8,6,14,-4,13,7,1,0,2,4,2,0,78,10.3,584,12:10,gagnesa01
165,Steve Rucchin,2007,2007,1,47,5,16,21,-4,14,4,1,0,1,12,3,1,56,8.9,862,18:20,rucchst01
166,Christoph Schubert,2010,2010,1,47,2,5,7,-6,69,2,0,0,0,5,0,0,73,2.7,741,15:47,schubch01
167,Brett Clark,2000,2002,3,44,1,3,4,-27,18,1,0,0,0,3,0,0,48,2.1,772,17:33,clarkbr01
168,Darcy Hordichuk,2001,2002,2,44,1,1,2,-8,165,1,0,0,0,1,0,0,14,7.1,280,6:22,hordida01
169,Luca Sbisa,2020,2020,1,44,2,8,10,1,37,2,0,0,0,8,0,0,49,4.1,789,17:56,sbisalu01
170,Mathieu Schneider,2009,2009,1,44,4,11,15,-10,50,3,1,0,0,6,4,1,82,4.9,926,21:02,schnema01
171,Nate Thompson,2021,2021,1,44,2,3,5,4,4,2,0,0,1,2,0,1,20,10.0,426,9:41,thompna01
172,Ed Ward,2000,2000,1,44,5,1,6,-5,44,3,0,2,0,1,0,0,51,9.8,503,11:26,warded01
173,Richard Šmehlík,2003,2003,1,43,2,9,11,-4,16,2,0,0,0,8,1,0,38,5.3,847,19:42,smehlri01
174,Nick Shore,2020,2020,1,42,1,2,3,-1,8,1,0,0,0,2,0,0,38,2.6,385,9:09,shoreni01
175,Eric O'Dell,2014,2015,2,41,3,5,8,-2,29,3,0,0,1,5,0,0,23,13.0,372,9:05,odeller01
176,Jason Williams,2009,2009,1,41,7,11,18,-9,8,3,4,0,2,9,2,0,79,8.9,659,16:05,willija01
177,Maxim Galanov,2000,2000,1,40,4,3,7,-12,20,4,0,0,0,1,2,0,47,8.5,861,21:32,galanma01
178,Randy Jones,2012,2012,1,39,1,1,2,4,8,1,0,0,0,1,0,0,24,4.2,578,14:49,jonesra01
179,Braydon Coburn,2006,2007,2,38,0,5,5,-1,34,0,0,0,0,3,2,0,25,0.0,408,10:45,coburbr01
