--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
271,Scott Hannan,2011,2011,1,55,1,4,5,3,28,1,0,0,0,4,0,0,35,2.9,1115,20:16,hannasc01
272,Colin Forbes,2002,2006,4,54,5,3,8,-6,17,4,0,1,1,3,0,0,64,7.8,559,10:21,forbeco01
273,Stefan Ustorf,1996,1997,2,54,7,10,17,5,16,7,0,0,1,8,0,2,46,15.2,,,ustorst01
274,Denis Dupéré,1975,1975,1,53,20,15,35,-43,8,12,8,0,0,9,6,0,133,15.0,,,duperde01
275,Jeff Greenlaw,1987,1993,4,53,3,5,8,-1,106,3,0,0,1,5,0,0,38,7.9,,,greenje01
276,Mathieu Biron,2006,2006,1,52,4,9,13,-11,50,1,3,0,0,3,6,0,61,6.6,636,12:14,bironma02
277,Matt Herr,1999,2001,2,52,4,5,9,-4,25,3,1,0,1,4,1,0,60,6.7,512,9:50,herrma01
278,Dave Kryskow,1975,1975,1,51,9,15,24,-29,83,7,1,1,0,12,3,0,99,9.1,,,kryskda01
279,Todd Rohloff,2002,2004,2,51,0,4,4,-7,32,0,0,0,0,4,0,0,25,0.0,721,14:08,rohloto01
280,Dwight Schofield,1986,1986,1,50,1,2,3,6,127,1,0,0,0,2,0,0,13,7.7,,,schofdw01
281,Nolan Yonkman,2002,2006,3,50,1,7,8,4,90,1,0,0,0,7,0,0,21,4.8,458,9:09,yonkmno01
282,Keith Aucoin,2009,2012,4,49,6,16,22,7,4,5,1,0,1,14,2,0,40,15.0,513,10:29,aucoike01
283,Mike Lampman,1976,1977,2,49,13,17,30,-10,32,12,1,0,1,16,1,0,102,12.7,,,lampmmi01
