--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
113,John Madden,2011,2011,1,76,12,13,25,-9,10,10,1,1,4,12,1,0,107,11.2,1166,15:20,maddejo01
114,Tyler Ennis,2018,2018,1,73,8,14,22,-1,12,6,2,0,3,13,1,0,115,7.0,874,11:58,ennisty01
115,Zenon Konopka,2013,2014,2,73,1,1,2,-9,172,1,0,0,0,1,0,0,33,3.0,574,7:52,konopze01
116,Marc-André Bergeron,2009,2009,1,72,14,18,32,5,30,7,7,0,3,7,11,0,140,10.0,1217,16:54,bergema02
117,Eric Fehr,2019,2019,1,72,7,8,15,-8,30,7,0,0,0,7,0,1,67,10.4,795,11:03,fehrer01
118,Cam Barker,2010,2011,2,71,2,10,12,-12,44,1,1,0,1,5,5,0,75,2.7,1272,17:55,barkeca01
119,John Scott,2009,2010,2,71,1,2,3,-4,111,1,0,0,0,2,0,0,28,3.6,624,8:47,scottjo01
120,Shane Hnidy,2010,2010,1,70,2,12,14,-6,66,2,0,0,0,9,2,1,49,4.1,948,13:32,hnidysh01
121,Warren Peters,2011,2012,2,69,2,4,6,-17,58,2,0,0,0,4,0,0,65,3.1,710,10:17,peterwa01
122,Randy Robitaille,2006,2006,1,67,12,28,40,-5,54,5,7,0,2,15,13,0,112,10.7,987,14:44,robitra01
123,Benoît Pouliot,2007,2010,4,65,9,9,18,-1,30,7,2,0,1,6,3,0,64,14.1,723,11:08,poulibe01
124,Sam Steel,2023,2023,1,65,10,18,28,11,18,9,0,1,2,15,3,0,85,11.8,972,14:58,steelsa01
125,Kyle Wanvig,2003,2006,3,64,5,9,14,-10,87,4,1,0,0,9,0,0,76,6.6,691,10:48,wanviky01
126,Tom Gilbert,2012,2013,2,63,3,15,18,-16,26,2,1,0,0,12,3,0,58,5.2,1371,21:46,gilbeto01
127,Sergei Krivokrasov,2001,2002,2,63,8,16,24,-2,37,6,2,0,2,13,3,0,120,6.7,816,12:57,krivose01
128,Sean O'Donnell,2001,2001,1,63,4,12,16,-2,128,3,1,0,2,10,1,1,58,6.9,1449,23:00,odonnse01
129,Mason Shaw,2022,2023,2,62,7,10,17,-3,84,7,0,0,0,8,0,2,99,7.1,693,11:11,shawma01
130,Jason Wiemer,2004,2004,1,62,7,11,18,-6,106,6,1,0,0,7,4,0,89,7.9,865,13:57,wiemeja01
131,Chris Porter,2016,2016,1,61,4,3,7,-6,6,4,0,0,0,3,0,0,45,8.9,588,9:38,portech01
132,Ryan Reaves,2023,2023,1,61,5,10,15,-1,31,5,0,0,0,10,0,0,45,11.1,579,9:30,reavery01
133,Wyatt Smith,2007,2007,1,61,3,3,6,-8,16,2,1,0,0,3,0,0,44,6.8,580,9:31,smithwy01
134,Daniel Tjärnqvist,2006,2006,1,60,3,15,18,-11,32,0,3,0,1,8,5,2,54,5.6,1186,19:46,tjarnda01
135,Keith Ballard,2014,2015,2,59,2,8,10,-10,63,2,0,0,0,6,2,0,34,5.9,781,13:14,ballake01
136,Jeff Nielsen,2001,2001,1,59,3,8,11,-16,4,2,1,0,1,7,0,1,82,3.7,800,13:33,nielsje01
137,Todd Fedoruk,2008,2008,1,58,6,5,11,0,106,4,2,0,0,5,0,0,51,11.8,637,10:59,fedorto01
138,Scott Pellerin,2001,2001,1,58,11,28,39,6,45,7,2,2,2,18,9,1,117,9.4,1082,18:40,pellesc01
139,Tyler Graovac,2015,2017,3,57,7,2,9,6,10,7,0,0,2,2,0,0,54,13.0,563,9:52,graovty01
140,J.T. Brown,2019,2019,1,56,3,5,8,0,29,3,0,0,0,5,0,0,56,5.4,514,9:10,brownjt01
141,Matt Foy,2006,2008,3,56,6,7,13,-6,48,5,1,0,1,7,0,0,65,9.2,493,8:48,foyma01
