--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
201,Sergey Gusev,1999,2001,3,58,3,6,9,-20,26,2,1,0,0,3,2,1,52,5.8,1007,17:22,gusevse01
202,Mike Hartman,1993,1993,1,58,4,4,8,-7,154,4,0,0,0,4,0,0,74,5.4,,,hartmmi01
203,Steve Kelly,1998,1999,2,58,3,4,7,-24,42,2,1,0,1,4,0,0,32,9.4,369,10:51,kellyst01
204,Jamie Huscroft,1997,1998,2,57,0,4,4,-8,156,0,0,0,0,4,0,0,28,0.0,,,huscrja01
205,Brent Peterson,1997,1999,3,56,9,1,10,-8,6,9,0,0,0,1,0,0,42,21.4,179,8:58,peterbr02
206,Louie DeBrusk,1998,1998,1,54,1,2,3,-2,166,1,0,0,0,2,0,0,14,7.1,,,debrulo01
207,Matt Gilroy,2012,2012,1,53,2,15,17,2,16,2,0,0,0,15,0,0,60,3.3,933,17:36,gilroma01
208,Taylor Raddysh,2022,2022,1,53,5,7,12,5,8,4,0,1,1,6,1,0,61,8.2,586,11:03,raddyta01
209,Gerard Gallant,1994,1995,2,52,4,9,13,-6,74,3,1,0,2,9,0,0,46,8.7,,,gallage01
210,Carter Verhaeghe,2020,2020,1,52,9,4,13,-9,8,8,1,0,1,4,0,0,57,15.8,487,9:22,verhaca01
211,Donald Dufresne,1994,1994,1,51,2,6,8,-2,48,2,0,0,0,6,0,0,49,4.1,,,dufredo01
