--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
83,Dean Evason,1992,1993,2,158,23,34,57,-57,231,19,4,0,2,27,6,1,195,11.8,,,evasode01
84,Bill Houlder,1998,1999,2,158,16,48,64,21,88,5,11,0,7,23,24,1,217,7.4,1682,22:08,houldbi01
85,James Sheppard,2013,2015,3,156,10,30,40,-9,75,10,0,0,1,28,2,0,192,5.2,1974,12:39,sheppja01
86,Mikkel Bødker,2017,2018,2,155,25,38,63,0,22,20,4,1,6,33,5,0,241,10.4,2151,13:53,boedkmi01
87,Matt Irwin,2013,2015,3,153,16,34,50,7,63,10,6,0,1,26,9,0,319,5.0,2794,18:16,irwinma01
88,Michal Sýkora,1994,1997,4,152,7,29,36,-12,137,5,2,0,0,26,2,1,147,4.8,,,sykormi01
89,Doug Zmolek,1993,1994,2,152,5,14,19,-59,351,3,2,0,0,11,3,0,123,4.1,,,zmoledo01
90,Matt Carle,2006,2008,3,151,16,47,63,-1,70,4,12,0,3,21,26,0,185,8.6,2616,17:20,carlema01
91,Alexander Barabanov,2021,2023,3,147,28,65,93,-35,36,22,6,0,4,49,16,0,235,11.9,2589,17:37,barabal01
92,Ronnie Stern,1999,2000,2,145,11,14,25,-12,309,10,1,0,2,14,0,0,157,7.0,1517,10:28,sternro01
93,Rob Blake*,2009,2010,2,143,17,58,75,29,170,7,10,0,2,37,20,1,380,4.5,3048,21:19,blakero01
94,Rob Gaudreau,1993,1994,2,143,38,40,78,-28,46,25,11,2,5,18,22,0,342,11.1,,,gaudrro01
95,Todd Gill,1997,1998,2,143,8,34,42,-33,132,4,4,0,1,21,13,0,201,4.0,,,gillto01
96,Dave Lowry,1998,2000,3,143,11,17,28,-4,93,9,2,0,1,16,1,0,130,8.5,857,9:13,lowryda01
97,Tom Preissing,2004,2006,2,143,13,49,62,25,38,9,4,0,3,20,28,1,220,5.9,2772,19:23,preisto01
98,Nick Bonino,2022,2023,2,139,26,19,45,-31,46,22,3,1,0,14,5,0,225,11.6,2293,16:30,boninni01
99,Jody Shelley,2008,2010,3,137,3,11,14,-7,285,3,0,0,1,11,0,0,95,3.2,899,6:34,shelljo01
100,Scott Nichol,2010,2011,2,135,8,18,26,-3,122,7,0,1,0,16,1,1,154,5.2,1578,11:41,nichosc01
101,Bernie Nicholls,1997,1999,3,135,18,57,75,-29,93,12,5,1,0,34,20,3,229,7.9,110,11:01,nichobe01
102,Niko Dimitrakos,2003,2006,3,134,19,34,53,-1,83,14,5,0,4,23,10,1,216,8.8,1741,13:00,dimitni01
103,Dylan DeMelo,2016,2018,3,133,3,29,32,1,62,1,2,0,0,24,5,0,141,2.1,1905,14:19,demeldy01
104,Kent Huskins,2010,2011,2,132,5,27,32,14,59,5,0,0,0,25,2,0,85,5.9,2265,17:09,huskike01
105,Murray Craven,1998,2000,3,129,16,29,45,-1,47,10,2,4,4,22,7,0,180,8.9,869,14:01,cravemu01
106,Martin Havlát,2012,2014,3,127,27,40,67,31,62,21,6,0,4,31,8,1,257,10.5,2028,15:58,havlama01
107,Kelly Kisio,1992,1993,2,126,37,78,115,-22,144,21,11,5,4,39,35,4,220,16.8,,,kisioke01
108,Curtis Brown,2004,2008,3,123,15,18,33,3,72,13,0,2,3,15,1,2,143,10.5,1581,12:51,browncu01
109,Sergei Makarov*,1994,1995,2,123,40,52,92,7,118,29,11,0,6,39,13,0,211,19.0,,,makarse01
110,Matt Bradley,2001,2003,3,121,12,17,29,21,99,12,0,0,2,17,0,0,100,12.0,966,7:59,bradlma01
111,Neil Wilkinson,1992,1993,2,119,5,22,27,-61,203,3,1,1,0,15,6,1,146,3.4,,,wilkine01
112,Gaétan Duchesne,1994,1995,2,117,14,25,39,2,44,13,0,1,3,23,0,2,169,8.3,,,duchega01
113,Marty McSorley,1997,1998,2,113,6,22,28,4,326,5,0,1,1,20,1,1,120,5.0,,,mcsorma01
114,Jeremy Roenick,2008,2009,2,111,18,28,46,-9,50,10,8,0,10,21,7,0,139,12.9,1438,12:57,roenije01
115,Dylan Gambrell,2018,2021,4,110,10,13,23,-26,32,9,0,1,2,12,1,0,98,10.2,1484,13:29,gambrdy01
116,Bob Errey,1994,1997,3,107,17,26,43,-9,173,12,5,0,2,19,6,1,146,11.6,,,erreybo01
117,Joakim Ryan,2018,2019,2,106,3,16,19,12,23,3,0,0,1,15,0,1,114,2.6,1601,15:06,ryanjo02
118,Dody Wood,1993,1998,5,106,8,10,18,-11,471,7,0,1,0,10,0,0,95,8.4,,,wooddo01
119,Tim Heed,2017,2020,4,105,6,23,29,-1,20,3,3,0,2,17,6,0,137,4.4,1507,14:21,heedti01
120,Mike Brown,2014,2016,3,104,3,5,8,-13,160,3,0,0,0,5,0,0,92,3.3,770,7:24,brownmi02
121,Vlastimil Kroupa,1994,1997,4,103,4,18,22,-47,66,2,2,0,1,13,4,1,55,7.3,,,kroupvl01
122,Rudolfs Balcers,2021,2022,2,102,19,21,40,-9,36,19,0,0,3,19,1,1,164,11.6,1520,14:54,balceru01
123,Wayne Primeau,2003,2006,3,100,15,24,39,0,107,12,1,2,2,19,2,3,190,7.9,1518,15:11,primewa01
124,Dale Craigwell,1992,1994,3,98,11,18,29,-20,28,6,4,1,2,17,1,0,80,13.8,,,craigda01
125,Craig Janney,1995,1996,2,98,18,64,82,-39,36,11,7,0,2,37,27,0,109,16.5,,,jannecr01
126,Todd Elik,1994,1995,2,97,32,51,83,0,107,19,13,0,4,28,23,0,230,13.9,,,elikto01
127,Micheal Haley,2015,2019,4,97,4,12,16,3,232,4,0,0,1,12,0,0,62,6.5,844,8:42,haleymi01
128,Igor Larionov*,1994,1996,3,97,23,59,82,11,54,17,4,2,3,42,15,2,146,15.8,,,larioig01
129,Niclas Wallin,2010,2011,2,97,3,7,10,0,69,3,0,0,0,7,0,0,108,2.8,1549,15:58,wallini01
