--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
125,Al MacNeil,1963,1966,4,260,10,46,56,83,344,9,1,0,1,43,2,1,332,3.0,,,macneal01
126,Nick Leddy,2011,2014,4,258,20,73,93,10,34,14,6,0,3,49,24,0,319,6.3,4648,18:01,leddyni01
127,Mike Hudson,1989,1993,5,257,38,58,96,-27,274,34,2,2,6,51,5,2,279,13.6,,,hudsomi01
128,Ernie Dickens,1948,1951,4,253,9,39,48,,86,5,3,1,0,31,7,1,,,,,dickeer01
129,Reg Kerr,1978,1982,5,253,66,92,158,-15,162,53,10,3,9,85,7,0,442,14.9,,,kerrre01
130,Bill Thoms,1939,1945,7,253,63,112,175,,59,53,10,0,12,91,19,2,,,,,thomsbi01
131,Steve Konroyd,1989,1992,4,251,10,47,57,10,179,9,1,0,1,41,3,3,358,2.8,,,konrost01
132,Tyler Arnason,2002,2006,4,245,57,82,139,-4,80,43,14,0,9,54,28,0,580,9.8,3644,14:52,arnasty01
133,Matt Ravlich,1965,1969,4,245,5,47,52,34,254,5,0,0,0,41,1,5,216,2.3,,,ravlima01
134,Metro Prystai,1948,1956,5,242,60,56,116,,111,45,14,1,5,49,7,0,,,,,prystme01
135,Michael Nylander,2000,2003,4,239,63,117,180,44,112,49,14,0,9,81,34,2,466,13.5,4058,16:59,nylanmi01
136,Troy Brouwer,2007,2011,5,238,49,54,103,8,161,29,18,2,12,38,16,0,371,13.2,3634,15:16,brouwtr01
137,Steve Dubinsky,1994,2002,8,237,16,26,42,-8,132,14,0,2,1,22,1,3,262,6.1,701,10:57,dubinst01
138,Max Bentley*,1941,1948,6,235,109,147,256,,32,78,30,1,12,108,39,0,,,,,bentlma01
139,Phil Esposito*,1964,1967,4,235,74,100,174,62,135,58,14,2,18,85,15,0,570,13.0,,,esposph01
140,David Kämpf,2018,2021,4,235,17,41,58,-29,54,16,0,1,2,41,0,0,271,6.3,3244,13:48,kampfda01
