--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
164,Mike Reilly,2020,2021,2,70,1,30,31,-10,36,0,1,0,1,17,12,1,131,0.8,1341,19:10,reillmi01
165,Andreas Johansson,1999,1999,1,69,21,16,37,1,34,14,7,0,6,8,8,0,144,14.6,1011,14:39,johanan01
166,Artem Anisimov,2020,2021,2,68,17,12,29,-14,10,11,6,0,1,11,1,0,117,14.5,907,13:20,anisiar01
167,Randy Robitaille,2008,2008,1,68,10,19,29,4,18,9,1,0,1,16,3,0,99,10.1,922,13:34,robitra01
168,Kevin Dineen,2000,2000,1,67,4,8,12,2,57,4,0,0,1,8,0,0,71,5.6,638,9:31,dineeke01
169,Mathieu Joseph,2022,2023,2,67,7,23,30,13,42,4,1,2,1,19,2,2,85,8.2,971,14:29,josepma01
170,Ricard Persson,2001,2002,2,67,3,15,18,11,77,3,0,0,1,11,3,1,78,3.8,1060,15:49,perssri01
171,Joé Juneau,2000,2000,1,65,13,24,37,3,22,11,2,0,2,18,6,0,126,10.3,1200,18:28,juneajo01
172,Ron Hainsey,2020,2020,1,64,1,11,12,10,12,1,0,0,1,8,0,3,43,2.3,1324,20:41,hainsro01
173,Jaroslav Modrý,1996,1996,1,64,4,14,18,-17,38,3,1,0,1,10,4,0,89,4.5,,,modryja01
174,Mike Comrie,2007,2009,2,63,16,16,32,-8,30,13,3,0,3,10,6,0,128,12.5,907,14:24,comrimi01
175,Mark Freer,1993,1993,1,63,10,14,24,-35,39,4,3,3,0,7,7,0,80,12.5,,,freerma01
176,Jason Smith,2009,2009,1,63,1,0,1,-3,47,1,0,0,1,0,0,0,53,1.9,1105,17:32,smithja01
177,Phil Bourque,1994,1996,3,62,7,7,14,-22,34,5,0,2,0,6,1,0,65,10.8,,,bourqph01
178,Ken Hammond,1993,1993,1,62,4,4,8,-42,104,4,0,0,0,2,2,0,64,6.3,,,hammoke01
179,Maxime Lajoie,2019,2020,2,62,7,8,15,-25,20,3,4,0,0,4,4,0,82,8.5,1106,17:50,lajoima01
180,Zach Sanford,2022,2022,1,62,9,8,17,-13,37,8,1,0,0,6,2,0,85,10.6,880,14:11,sanfoza01
181,Jonathan Cheechoo,2010,2010,1,61,5,9,14,-13,20,5,0,0,0,9,0,0,117,4.3,729,11:57,cheecjo01
182,Pavol Demitra,1994,1996,3,59,12,14,26,-14,10,8,4,0,1,9,5,0,97,12.4,,,demitpa01
183,Brad Marsh,1993,1993,1,59,0,3,3,-29,30,0,0,0,0,3,0,0,35,0.0,,,marshbr01
184,Christian Wolanin,2018,2021,4,58,5,13,18,-7,12,5,0,0,1,10,3,0,68,7.4,914,15:46,wolanch01
185,Filip Chlapík,2018,2021,4,57,5,6,11,-13,18,5,0,0,1,5,1,0,58,8.6,550,9:39,chlapfi01
186,Neil Brady,1993,1993,1,55,7,17,24,-25,57,2,5,0,0,11,6,0,68,10.3,,,bradyne01
187,Evgenii Dadonov,2021,2021,1,55,13,7,20,-9,4,13,0,0,3,6,1,0,89,14.6,857,15:35,dadonev01
188,Zenon Konopka,2012,2012,1,55,3,2,5,-4,193,2,1,0,1,2,0,0,34,8.8,431,7:51,konopze01
189,Vladislav Namestnikov,2020,2020,1,54,13,12,25,-5,35,8,1,4,2,8,2,2,85,15.3,817,15:08,namesvl01
190,Brendan Bell,2009,2009,1,53,6,15,21,-5,24,1,5,0,1,5,10,0,76,7.9,940,17:44,bellbr02
191,Denis Hamel,2004,2007,3,52,5,3,8,2,10,5,0,0,0,3,0,0,51,9.8,310,5:58,hamelde01
192,Matt Puempel,2015,2017,3,52,4,2,6,-2,24,4,0,0,1,2,0,0,52,7.7,511,9:49,puempma01
193,Rudolfs Balcers,2019,2020,2,51,6,11,17,-9,10,3,3,0,2,10,1,0,71,8.5,627,12:17,balceru01
194,John Emmons,2000,2001,2,51,1,1,2,-7,26,1,0,0,0,1,0,0,31,3.2,393,7:42,emmonjo01
195,Josh Langfeld,2002,2004,3,51,7,11,18,8,22,5,2,0,2,10,1,0,80,8.8,556,10:54,langfjo01
196,Victor Mete,2021,2022,2,51,1,8,9,-14,6,1,0,0,0,7,1,0,39,2.6,785,15:24,metevi01
197,Johnny Oduya,2018,2018,1,51,4,4,8,2,32,4,0,0,0,4,0,0,58,6.9,877,17:12,oduyajo01
198,Doug Smail,1993,1993,1,51,4,10,14,-34,51,4,0,0,0,8,0,2,73,5.5,,,smaildo01
199,Adam Gaudette,2022,2022,1,50,4,8,12,-6,13,3,1,0,1,8,0,0,84,4.8,572,11:27,gaudead01
200,Antti Törmänen,1996,1996,1,50,7,8,15,-15,28,7,0,0,0,7,0,1,68,10.3,,,tormaan01
201,Tomáš Jelínek,1993,1993,1,49,7,6,13,-21,52,7,0,0,0,3,3,0,60,11.7,,,jelinto01
202,Martin Straka,1995,1996,2,49,10,17,27,-15,29,5,5,0,1,12,5,0,76,13.2,,,strakma01
203,Brian Glynn,1994,1994,1,48,2,13,15,-15,41,1,1,0,0,5,8,0,66,3.0,,,glynnbr01
204,Matt Kassian,2013,2014,2,48,2,1,3,-1,110,2,0,0,0,1,0,0,18,11.1,242,5:03,kassima01
205,Troy Murray,1994,1995,2,48,6,13,19,0,20,5,0,1,1,11,1,1,52,11.5,,,murratr01
206,Jakob Silfverberg,2013,2013,1,48,10,9,19,9,12,7,2,1,2,8,1,0,134,7.5,779,16:14,silfvja01
207,Stéphane Da Costa,2011,2014,4,47,7,4,11,-11,10,6,1,0,0,3,1,0,75,9.3,545,11:36,dacosst01
208,Jamie Rivers,2001,2002,2,47,2,4,6,3,48,2,0,0,0,2,2,0,44,4.5,654,13:55,riverja01
209,Bill Berg,1999,1999,1,44,2,2,4,4,28,2,0,0,0,2,0,0,40,5.0,455,10:21,bergbi01
210,Rob Murphy,1993,1993,1,44,3,7,10,-23,30,3,0,0,0,7,0,0,55,5.5,,,murphro02
211,Shane Prince,2015,2016,2,44,3,10,13,3,6,3,0,0,1,10,0,0,64,4.7,467,10:37,princsh01
212,Phil Crowe,1997,1999,3,43,3,2,5,4,58,3,0,0,1,2,0,0,16,18.8,33,4:10,croweph01
213,Evgeny Davydov,1994,1995,2,43,6,9,15,-4,38,5,1,0,0,9,0,0,46,13.0,,,davydev01
