--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
331,Andrew Agozzino,2020,2021,2,8,1,1,2,3,0,1,0,0,0,1,0,0,5,20.0,86,10:46,agozzan01
332,Oleg Mikulchik,1996,1996,1,8,0,0,0,-2,4,0,0,0,0,0,0,0,0,,,,mikulol01
333,Luke Schenn,2019,2019,1,8,0,0,0,-6,7,0,0,0,0,0,0,0,7,0.0,96,11:59,schenlu01
334,MacGregor Sharp,2010,2010,1,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,33,4:10,sharpma01
335,Ed Ward,2000,2000,1,8,1,0,1,-2,15,1,0,0,0,0,0,0,5,20.0,55,6:56,warded01
336,Viacheslav Butsayev,1996,1996,1,7,1,0,1,-4,0,1,0,0,0,0,0,0,9,11.1,,,butsavi01
337,Justin Kirkland,2023,2023,1,7,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,51,7:13,kirklju01
338,Michael Liambas,2018,2018,1,7,0,1,1,0,21,0,0,0,0,1,0,0,3,0.0,37,5:17,liambmi01
339,Matthew Lombardi,2013,2013,1,7,0,0,0,-2,4,0,0,0,0,0,0,0,5,0.0,94,13:26,lombama01
340,Maxim Balmochnykh,2000,2000,1,6,0,1,1,2,2,0,0,0,0,1,0,0,6,0.0,40,6:44,balmoma01
341,Joseph Blandisi,2018,2019,2,6,0,0,0,1,8,0,0,0,0,0,0,0,5,0.0,67,11:10,blandjo01
342,Max Friberg,2015,2016,2,6,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,53,8:50,fribema01
343,Mark Hartigan,2007,2007,1,6,0,0,0,-1,4,0,0,0,0,0,0,0,4,0.0,46,7:41,hartima01
344,Dany Heatley,2015,2015,1,6,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,73,12:08,heatlda01
345,Jean-François Jacques,2012,2012,1,6,0,0,0,2,12,0,0,0,0,0,0,0,7,0.0,40,6:37,jacquje01
346,Tony Mårtensson,2004,2004,1,6,1,1,2,-2,0,1,0,0,0,1,0,0,4,25.0,42,6:58,marteto01
347,Ben Maxwell,2012,2012,1,6,0,1,1,1,2,0,0,0,0,1,0,0,6,0.0,47,7:45,maxwebe01
348,Adrien Plavsic,1997,1997,1,6,0,0,0,-5,2,0,0,0,0,0,0,0,3,0.0,,,plavsad01
349,Danny Syvret,2011,2011,1,6,1,1,2,-3,4,1,0,0,0,0,1,0,8,12.5,99,16:27,syvreda01
350,Jim Thomson,1994,1994,1,6,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,,,thomsji02
351,Mark Bell,2012,2012,1,5,0,0,0,0,5,0,0,0,0,0,0,0,0,,32,6:26,bellma01
352,Aris Brimanis,2002,2002,1,5,0,0,0,-1,9,0,0,0,0,0,0,0,2,0.0,48,9:31,brimaar01
353,Aaron Gavey,2006,2006,1,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,20,4:03,gaveyaa01
354,Myles O'Connor,1994,1994,1,5,0,1,1,0,6,0,0,0,0,1,0,0,7,0.0,,,oconnmy01
355,Danny O'Regan,2022,2022,1,5,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,50,10:03,oregada01
356,Geoff Platt,2008,2008,1,5,0,0,0,2,2,0,0,0,0,0,0,0,4,0.0,56,11:17,plattge01
357,Colby Robak,2015,2015,1,5,0,1,1,3,0,0,0,0,0,1,0,0,2,0.0,76,15:15,robakco01
358,Nick Sörensen,2017,2017,1,5,0,1,1,-1,2,0,0,0,0,1,0,0,7,0.0,54,10:53,sorenni01
359,Austin Strand,2023,2023,1,5,0,0,0,-2,2,0,0,0,0,0,0,0,5,0.0,62,12:24,stranau01
360,Chris Armstrong,2004,2004,1,4,0,1,1,-1,0,0,0,0,0,1,0,0,8,0.0,50,12:32,armstch01
361,Casey Hankinson,2004,2004,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,,25,6:20,hankica01
362,Jason King,2008,2008,1,4,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,44,10:57,kingja01
363,Maxim Kondratiev,2008,2008,1,4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,30,7:31,kondrma01
364,Mason Raymond,2017,2017,1,4,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,36,8:55,raymoma01
365,Bob Wren,1998,2001,2,4,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,12,11:41,wrenbo01
366,Maxim Bets,1994,1994,1,3,0,0,0,-3,0,0,0,0,0,0,0,0,1,0.0,,,betsma01
367,Chase De Leo,2019,2021,3,3,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,41,13:39,deleoch01
368,Anatoli Fedotov,1994,1994,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,,fedotan01
369,Glenn Gawdin,2023,2023,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,29,9:36,gawdigl01
370,Drew Helleson,2023,2023,1,3,1,0,1,0,2,1,0,0,0,0,0,0,4,25.0,41,13:39,helledr01
371,Nicolas Kerdiles,2017,2018,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,19,6:13,kerdini01
372,Ken Klee,2009,2009,1,3,0,0,0,0,4,0,0,0,0,0,0,0,4,0.0,51,16:57,kleeke01
373,Lonnie Loach,1994,1994,1,3,0,0,0,-2,2,0,0,0,0,0,0,0,8,0.0,,,loachlo01
374,Björn Melin,2007,2007,1,3,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,22,7:19,melinbj01
375,Barry Nieckar,1997,1998,2,3,0,0,0,0,7,0,0,0,0,0,0,0,0,,,,nieckba01
376,Dwayne Norris,1996,1996,1,3,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,,,norridw01
377,Nathan Oystrick,2010,2010,1,3,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,32,10:35,oystrna01
378,Craig Reichert,1997,1997,1,3,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,,,reichcr01
379,Petteri Wirtanen,2008,2008,1,3,1,0,1,1,2,1,0,0,1,0,0,0,1,100.0,13,4:11,wirtape01
