--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
170,Brian McGrattan,2012,2013,2,32,0,2,2,-1,61,0,0,0,0,2,0,0,10,0.0,172,5:23,mcgrabr01
171,Kiefer Sherwood,2023,2023,1,32,7,6,13,4,30,6,1,0,0,5,1,0,57,12.3,435,13:36,sherwki01
172,Mike Sillinger,2006,2006,1,31,10,12,22,0,14,7,3,0,1,8,3,1,80,12.5,576,18:34,sillimi01
173,Stu Grimson,2002,2002,1,30,1,1,2,0,76,1,0,0,0,1,0,0,5,20.0,184,6:08,grimsst01
174,Scott Hannan,2013,2013,1,29,0,1,1,-11,20,0,0,0,0,1,0,0,20,0.0,565,19:30,hannasc01
175,Wyatt Smith,2003,2004,2,29,4,1,5,1,2,3,0,1,0,1,0,0,29,13.8,318,10:58,smithwy01
176,Marc Moro,2000,2002,3,27,0,0,0,-5,75,0,0,0,0,0,0,0,11,0.0,265,9:49,moroma01
177,Philippe Myers,2022,2022,1,27,1,3,4,5,12,1,0,0,0,3,0,0,28,3.6,402,14:53,myersph01
178,Cody Bass,2016,2017,2,26,0,0,0,-2,36,0,0,0,0,0,0,0,12,0.0,191,7:21,bassco01
179,Brian Boyle,2019,2019,1,26,5,0,5,-1,16,4,1,0,2,0,0,0,42,11.9,331,12:44,boylebr01
180,Steve Dubinsky,2002,2002,1,26,5,2,7,-2,10,5,0,0,0,2,0,0,42,11.9,413,15:54,dubinst01
181,Derek Roy,2015,2015,1,26,1,9,10,0,2,1,0,0,0,7,2,0,35,2.9,351,13:31,royde01
182,Michael Del Zotto,2014,2014,1,25,1,4,5,-4,8,1,0,0,0,4,0,0,26,3.8,407,16:18,delzomi01
183,Andreas Thuresson,2010,2011,2,25,1,2,3,-6,6,1,0,0,0,2,0,0,32,3.1,250,10:00,thurean01
184,Tyson Barrie,2023,2023,1,24,3,9,12,-4,10,3,0,0,1,5,3,1,48,6.3,514,21:24,barrity01
185,Luke Evangelista,2023,2023,1,24,7,8,15,7,6,7,0,0,1,6,2,0,54,13.0,398,16:34,evanglu01
186,Callan Foote,2023,2023,1,24,1,3,4,3,35,1,0,0,0,3,0,0,18,5.6,387,16:07,footeca01
187,Harry Zolnierczyk,2017,2017,1,24,2,2,4,-2,10,2,0,0,0,2,0,0,19,10.5,213,8:52,zolniha01
188,Kevin Gravel,2023,2023,1,23,0,1,1,-10,4,0,0,0,0,1,0,0,20,0.0,328,14:16,graveke01
189,Matt Luff,2022,2022,1,23,3,3,6,3,4,3,0,0,1,3,0,0,26,11.5,216,9:24,luffma01
190,Nathan Perrott,2002,2003,2,23,1,2,3,-1,79,1,0,0,1,2,0,0,7,14.3,112,4:53,perrona01
191,Zac Rinaldo,2019,2019,1,23,1,2,3,1,20,1,0,0,1,2,0,0,11,9.1,164,7:07,rinalza01
192,Jeremy Davies,2021,2022,2,22,0,3,3,-2,10,0,0,0,0,3,0,0,24,0.0,314,14:17,davieje01
193,Robert Schnabel,2002,2004,3,22,0,3,3,6,34,0,0,0,0,3,0,0,10,0.0,304,13:48,schnaro01
194,Bobby Butler,2013,2013,1,20,3,6,9,-2,4,3,0,0,0,4,2,0,28,10.7,228,11:23,butlebo01
195,Brantt Myhres,2001,2001,1,20,0,0,0,-5,28,0,0,0,0,0,0,0,1,0.0,76,3:48,myhrebr01
196,Rasmus Asplund,2023,2023,1,19,0,0,0,-6,4,0,0,0,0,0,0,0,21,0.0,198,10:26,asplura01
197,Andrei Kostitsyn,2012,2012,1,19,4,8,12,7,10,2,2,0,2,8,0,0,29,13.8,284,14:56,kostian01
198,Dustin Boyd,2010,2010,1,18,3,2,5,1,4,3,0,0,1,2,0,0,32,9.4,219,12:11,boyddu01
199,Simon Gamache,2004,2006,2,18,1,0,1,-9,0,0,1,0,0,0,0,0,8,12.5,144,8:00,gamacsi01
200,Jan Hlaváč,2008,2008,1,18,3,10,13,9,8,3,0,0,2,9,0,1,29,10.3,297,16:29,hlavaja01
201,Andrew Hutchinson,2004,2004,1,18,4,4,8,1,4,2,2,0,1,2,2,0,24,16.7,301,16:43,hutchan01
202,Jayson More,1999,1999,1,18,0,2,2,2,18,0,0,0,0,2,0,0,24,0.0,297,16:30,moreja01
203,Mike Watt,2001,2001,1,18,1,1,2,-2,8,1,0,0,1,1,0,0,18,5.6,199,11:02,wattmi01
204,Egor Afanasyev,2023,2023,1,17,1,0,1,-7,2,1,0,0,0,0,0,0,21,4.8,184,10:51,afanaeg01
205,Peter Forsberg*,2007,2007,1,17,2,13,15,5,16,1,1,0,1,7,6,0,36,5.6,333,19:36,forsbpe01
206,Teemu Laakso,2010,2012,3,17,0,0,0,-3,10,0,0,0,0,0,0,0,9,0.0,183,10:45,laakste01
207,Oleg Petrov,2003,2003,1,17,2,2,4,-4,2,2,0,0,0,1,1,0,37,5.4,278,16:20,petrool01
208,Brad Richardson,2021,2021,1,17,1,3,4,0,4,1,0,0,1,3,0,0,18,5.6,208,12:16,richabr02
209,Wayne Simmonds,2019,2019,1,17,1,2,3,4,9,1,0,0,0,2,0,0,21,4.8,212,12:27,simmowa01
210,Brendan Witt,2006,2006,1,17,0,3,3,5,68,0,0,0,0,3,0,0,13,0.0,297,17:29,wittbr01
211,Zach Sanford,2023,2023,1,16,2,1,3,-3,4,2,0,0,1,1,0,0,20,10.0,216,13:29,sanfoza01
212,Dave Scatchard,2010,2010,1,16,3,2,5,3,17,3,0,0,0,1,0,1,25,12.0,171,10:42,scatcda01
213,Jordan Gross,2023,2023,1,15,3,0,3,-3,2,2,1,0,0,0,0,0,24,12.5,282,18:47,grossjo01
