--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
234,Sergio Momesso,1984,1988,4,137,29,38,67,8,243,22,7,0,7,35,3,0,204,14.2,,,momesse01
235,Red Berenson,1962,1966,5,136,14,23,37,3,41,10,1,3,3,21,1,1,205,6.8,,,berenre01
236,Nick Wasnie,1930,1932,3,136,31,15,46,,108,,,,4,,,,,,,,wasnini01
237,Radek Bonk,2006,2007,2,135,19,25,44,-3,106,14,1,4,2,17,6,2,187,10.2,2099,15:33,bonkra01
238,Louis Berlinguette,1918,1923,6,134,41,30,71,,102,,,,6,,,,,,,,berlilo01
239,Mike Hoffman,2022,2023,2,134,29,40,69,-34,60,24,5,0,6,22,18,0,302,9.6,2192,16:21,hoffmmi02
240,Jack McGill,1935,1937,3,134,27,10,37,,71,21,6,0,6,8,2,0,,,,,mcgilja01
241,Alexander Romanov,2021,2022,2,133,4,15,19,-8,74,4,0,0,0,14,1,0,178,2.2,2543,19:07,romanal01
242,Art Gagne,1927,1929,3,132,41,17,58,,169,,,,8,,,,,,,,gagnear01
243,Doug Gilmour*,2002,2003,2,131,21,50,71,-13,84,13,8,0,2,37,13,0,163,12.9,2327,17:46,gilmodo01
244,Dutch Hiller,1943,1946,3,131,35,33,68,,28,29,6,0,8,29,4,0,,,,,hilledu01
245,Hal Laycoe,1948,1951,4,129,4,11,15,,81,4,0,0,0,10,0,1,,,,,laycoha01
246,Jimmy Peters,1946,1948,3,129,23,36,59,,45,22,1,0,4,35,1,0,,,,,peterji01
247,Don Awrey,1975,1976,2,128,1,23,24,52,87,1,0,0,0,21,0,2,100,1.0,,,awreydo01
248,Raphael Diaz,2012,2014,3,128,4,37,41,-7,48,4,0,0,1,20,14,3,136,2.9,2404,18:47,diazra01
249,Ryan O'Byrne,2008,2011,4,128,2,14,16,-3,181,2,0,0,1,13,0,1,54,3.7,1885,14:44,obyrnry01
250,Alexander Perezhogin,2006,2007,2,128,15,19,34,16,86,11,4,0,3,16,3,0,212,7.1,1402,10:57,perezal01
251,Didier Pitre*,1918,1923,6,127,64,35,99,,87,,,,12,,,,,,,,pitredi01
252,Charles Hudon,2016,2020,5,125,14,27,41,-27,56,11,3,0,2,20,6,1,257,5.4,1625,13:00,hudonch01
253,Babe Siebert*,1937,1939,3,125,25,37,62,,130,18,7,0,2,31,6,0,,,,,siebeba01
254,David Savard,2022,2023,2,124,6,31,37,-36,76,6,0,0,1,29,0,2,129,4.7,2677,21:35,savarda01
255,Cole Caufield,2021,2023,3,123,53,31,84,-35,14,41,12,0,8,20,11,0,376,14.1,2087,16:58,caufico01
256,Igor Ulanov,1998,2000,3,123,4,15,19,-16,197,4,0,0,0,14,1,0,92,4.3,2048,17:13,ulanoig01
257,Stéphane Robidas,2000,2002,3,122,7,16,23,-25,28,5,2,0,0,11,5,0,145,4.8,2426,19:53,robidst01
258,Arron Asham,1999,2002,4,121,11,9,20,-13,138,10,0,1,1,7,2,0,96,11.5,1066,8:49,ashamar01
259,Christian Dvorak,2022,2023,2,120,21,40,61,-31,30,19,1,1,2,33,7,0,175,12.0,2052,17:06,dvorach01
260,Jacob de La Rose,2015,2018,4,119,8,11,19,-16,51,6,0,2,0,11,0,0,115,7.0,1479,12:26,delarja01
261,Donald Dufresne,1989,1993,5,119,3,20,23,11,155,3,0,0,0,20,0,0,58,5.2,,,dufredo01
262,Joffre Desilets,1936,1938,3,118,20,25,45,,23,19,1,0,3,23,2,0,,,,,desiljo01
263,Benoît Pouliot,2010,2011,2,118,28,26,54,10,118,23,5,0,7,24,2,0,221,12.7,1564,13:15,poulibe01
264,Bill Root,1983,1984,2,118,6,16,22,30,69,4,1,1,0,13,0,3,114,5.3,,,rootbi01
265,Lou Fontinato,1962,1963,2,117,4,21,25,65,308,4,0,0,0,20,0,1,133,3.0,,,fontilo01
266,Tom Gilbert,2015,2016,2,117,5,9,14,13,42,5,0,0,0,8,0,1,106,4.7,2151,18:23,gilbeto01
267,Brian Flynn,2015,2017,3,116,10,10,20,-3,10,9,0,1,0,9,0,1,129,7.8,1354,11:40,flynnbr01
268,John Kordic,1986,1989,4,115,7,10,17,-7,335,7,0,0,0,10,0,0,51,13.7,,,kordijo01
269,John Quilty,1941,1948,4,115,33,33,66,,79,26,7,0,4,31,2,0,,,,,quiltjo01
270,Darcy Tucker,1996,1998,3,115,8,18,26,-12,167,7,1,0,3,17,1,0,82,9.8,,,tuckeda01
271,Yannick Weber,2009,2013,5,115,5,27,32,-14,52,1,4,0,0,16,11,0,162,3.1,1813,15:46,weberya01
