--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
148,Dale Weise,2017,2019,3,152,17,17,34,-12,75,15,1,1,3,16,1,0,191,8.9,1821,11:59,weiseda01
149,Valeri Zelepukin,1999,2000,2,151,27,30,57,-3,103,25,2,0,8,19,11,0,254,10.6,2202,14:35,zelepva01
150,Arron Asham,2009,2010,2,150,18,26,44,-2,281,18,0,0,3,26,0,0,165,10.9,1408,9:23,ashamar01
151,Marty Murray,2002,2003,2,150,23,30,53,9,23,19,2,2,2,26,3,1,214,10.7,1971,13:08,murrama01
152,Larry Hillman,1970,1971,2,149,8,39,47,-2,112,6,2,0,0,31,8,0,429,1.9,,,hillmla01
153,Rick Lapointe,1977,1979,3,146,8,42,50,70,183,5,2,1,1,36,5,1,158,5.1,,,lapoiri01
154,Mike Ricci,1991,1992,2,146,41,56,97,-18,157,19,20,2,4,39,16,1,270,15.2,,,riccimi01
155,Chris Pronger*,2010,2012,3,145,15,77,92,30,133,6,9,0,3,36,39,2,310,4.8,3543,24:26,prongch01
156,Pat Falloon,1996,1998,3,144,38,45,83,10,24,26,12,0,6,27,17,1,339,11.2,,,fallopa01
157,Mike Busniuk,1980,1981,2,143,3,23,26,66,297,3,0,0,1,22,0,1,89,3.4,,,busnimi01
158,Janne Niinimaa,1997,1998,2,143,7,71,78,18,114,4,3,0,3,31,40,0,256,2.7,,,niinija01
159,John Miszuk,1968,1969,2,140,6,30,36,-4,149,3,2,1,1,25,4,1,148,4.1,,,miszujo01
160,Rasmus Ristolainen,2022,2023,2,140,5,31,36,-13,70,3,1,1,0,24,5,2,183,2.7,2823,20:10,ristora01
161,Dick Cherry,1969,1970,2,139,12,10,22,-39,41,9,1,2,3,8,2,0,190,6.3,,,cherrdi01
162,Leon Rochefort,1968,1969,2,139,35,42,77,-8,26,26,7,2,1,23,19,0,385,9.1,,,rochele01
163,Blair Betts,2010,2011,2,138,13,17,30,4,22,10,1,2,4,16,0,1,114,11.4,1578,11:26,bettsbl01
164,Joffrey Lupul,2008,2009,2,135,45,51,96,3,93,32,13,0,7,28,23,0,370,12.2,2259,16:44,lupuljo01
165,Josef Beránek,1993,1995,3,134,46,38,84,0,137,38,8,0,2,32,6,0,307,15.0,,,beranjo01
166,Ryan McGill,1993,1995,3,134,4,13,17,4,363,4,0,0,0,12,0,1,123,3.3,,,mcgilry01
167,Scottie Upshall,2007,2009,3,134,27,37,64,11,145,20,6,1,3,32,5,0,314,8.6,1866,13:56,upshasc01
168,Vincent Lecavalier,2014,2016,3,133,28,30,58,-24,82,19,9,0,3,22,8,0,242,11.6,1835,13:48,lecavvi01
169,Colin Forbes,1997,1999,3,132,22,14,36,2,110,20,2,0,6,13,0,1,188,11.7,831,12:35,forbeco01
170,Kevin Haller,1995,1997,3,132,7,22,29,33,177,5,0,2,2,20,2,0,149,4.7,,,halleke01
171,Forbes Kennedy,1968,1969,2,132,18,25,43,-20,325,16,1,1,3,22,0,3,164,11.0,,,kennefo01
172,Keith Jones,1999,2001,3,131,27,47,74,32,164,24,3,0,3,42,5,0,227,11.9,1987,15:10,joneske01
173,Daniel Lacroix,1997,1998,2,130,8,5,13,-1,298,7,1,0,0,5,0,0,82,9.8,,,lacroda01
174,Larry Goodenough,1975,1977,3,129,15,56,71,72,104,8,7,0,2,30,26,0,238,6.3,,,goodela01
175,Kent Manderville,2000,2002,3,129,7,18,25,2,59,4,0,3,2,16,0,2,192,3.6,1491,11:34,mandeke01
176,Jack McIlhargey,1975,1981,5,128,3,7,10,25,497,3,0,0,0,7,0,0,66,4.5,,,mcilhja01
177,Earl Heiskala,1969,1971,3,127,13,11,24,-30,294,13,0,0,1,10,1,0,191,6.8,,,heiskea01
178,Andreas Nödl,2009,2012,4,127,12,16,28,-4,20,10,1,1,2,16,0,0,141,8.5,1526,12:01,nodlan01
179,Maxime Talbot,2012,2014,3,127,25,21,46,8,84,21,1,3,2,19,1,1,170,14.7,2003,15:46,talboma01
180,Jay Wells,1989,1990,2,126,5,35,40,1,313,5,0,0,1,22,13,0,143,3.5,,,wellsja01
181,Marc Bureau,1999,2000,2,125,6,8,14,-3,20,5,0,1,0,8,0,0,98,6.1,1379,11:02,bureama01
182,Mike Bullard,1989,1990,2,124,50,63,113,1,127,36,14,0,7,40,23,0,318,15.7,,,bullami01
183,Bill Sutherland,1968,1971,4,124,42,29,71,4,40,29,10,3,6,23,5,1,224,18.8,,,suthebi01
184,Jordan Weal,2016,2019,4,124,19,23,42,-9,38,15,4,0,2,21,2,0,187,10.2,1663,13:25,wealjo01
185,Serge Bernier,1969,1972,4,123,35,40,75,-29,130,28,7,0,4,30,10,0,329,10.6,,,bernise01
186,Bill Lesuk,1971,1972,2,123,24,25,49,-19,112,20,4,0,3,18,6,1,265,9.1,,,lesukbi01
187,Brent Hughes,1971,1973,3,122,5,41,46,-9,88,5,0,0,0,20,18,3,170,2.9,,,hughebr01
188,Zack MacEwen,2022,2023,2,121,7,11,18,-24,164,7,0,0,4,11,0,0,145,4.8,1291,10:40,macewza01
189,Chris McAllister,2001,2003,3,121,2,7,9,-8,258,2,0,0,0,7,0,0,68,2.9,1263,10:26,mcallch01
190,Nick Seeler,2022,2023,2,120,5,12,17,-2,85,5,0,0,0,11,0,1,116,4.3,1678,13:59,seeleni01
191,Brit Selby,1968,1969,2,119,25,28,53,-14,47,20,5,0,4,23,4,1,204,12.3,,,selbybr01
192,Tony Horacek,1990,1992,3,116,9,14,23,3,217,9,0,0,2,14,0,0,88,10.2,,,horacto01
193,Don Blackburn,1968,1969,2,115,16,29,45,-16,59,15,1,0,4,25,4,0,250,6.4,,,blackdo01
194,Terry Murray,1976,1981,4,115,1,30,31,68,69,1,0,0,0,26,4,0,103,1.0,,,murrate01
